vendor_name,classification,expected_engine_or_flag,dates,invoice_numbers,amounts_bdt,retrieval_keywords,presenter_note
Apex Buildmart,TRUE_FRAUD,threshold_skirting,2026-05-09; 2026-05-12; 2026-05-16,APEX-26011; APEX-26012; APEX-26013,92430; 96760; 98880,"Apex Buildmart APEX-26011 APEX-26012 APEX-26013 92,430 96,760 98,880 Mirpur staged delivery Tariq Rafiq","Three Apex payments are intentionally placed in the 80k-100k band after the threshold is set to 100,000 BDT."
Apex Buildmart,TRUE_FRAUD,invoice_matching_amount_mismatch,2026-07-29,APEX-26017,512730,"Apex Buildmart APEX-26017 512,730 510,730 revised internal amount Salim Tariq Rafiq","Bank amount exceeds the receipt by 2,000 BDT and emails subtly mention revised internal payment handling."
Apex Buildmart,TRUE_FRAUD,invoice_matching_missing_receipt / zscore / isolation_forest,2026-08-04,APEX-26018,850000,"Apex Buildmart APEX-26018 850,000 closeout supporting note later month-end review Tariq Rafiq Salim",Large final payment lacks receipt and should also be anomalous versus Apex history.
Apex Buildmart,TUNING_EXPECTATION,benfords_law should ideally NOT trigger,2026-01-10; 2026-01-24; 2026-02-10; 2026-02-24; 2026-03-09,APEX-25996; APEX-25997; APEX-25998; APEX-25999; APEX-26000,14870; 27960; 41340; 63280; 75210,Apex Buildmart routine small items APEX-25996 APEX-25997 APEX-25998 APEX-25999 APEX-26000,These routine payments diversify Apex leading digits so Benford focus stays on Swift and Strata.
Swift Cargo BD,TRUE_FRAUD,benfords_law,2026-03-14; 2026-03-25; 2026-04-05; 2026-04-16; 2026-04-27; 2026-05-09; 2026-05-20; 2026-06-01; 2026-06-12; 2026-06-23; 2026-07-05; 2026-07-17,SWIFT-26001; SWIFT-26002; SWIFT-26003; SWIFT-26004; SWIFT-26005; SWIFT-26006; SWIFT-26007; SWIFT-26008; SWIFT-26009; SWIFT-26010; SWIFT-26011; SWIFT-26012,72415; 78320; 76275; 75290; 74210; 77135; 73260; 79545; 76170; 74525; 78930; 71765,Swift Cargo BD SWIFT route movement same routing invoice range Noman Rafiq,"Swift repeatedly uses amounts in a tight manually selected range, creating a Benford violation."
Strata Consult BD,TRUE_FRAUD,benfords_law,2026-04-05; 2026-04-22; 2026-05-09; 2026-05-26; 2026-06-12; 2026-06-29; 2026-07-16; 2026-08-02; 2026-08-18; 2026-08-30,STRATA-26001; STRATA-26002; STRATA-26003; STRATA-26004; STRATA-26005; STRATA-26006; STRATA-26007; STRATA-26008; STRATA-26009; STRATA-26010,93640; 98215; 91780; 95425; 97310; 92865; 99740; 94155; 96825; 91290,"Strata Consult BD compliance billing same format Farhan Rafiq 91,000 99,000","Strata repeatedly uses 9-leading amounts, producing a high Benford deviation."
Northstar Survey Services,FALSE_POSITIVE,zscore / isolation_forest / duplicate_receipt_invoice_matching,2026-07-03,NSS-26010,418450,"Northstar Survey Services NSS-26010 418,450 emergency drone survey stamped scan duplicate washout contour data",Large outlier is legitimate emergency survey work; duplicate receipt is an explained re-upload.
Meghna Sand & Aggregates,FALSE_POSITIVE,threshold_skirting / duplicate_receipt_invoice_matching,2026-04-06; 2026-04-09; 2026-04-13,MSA-26001; MSA-26002; MSA-26003,86570; 91240; 97810,Meghna Sand Aggregates MSA-26001 MSA-26002 MSA-26003 split truck deliveries road load restriction signed copy weigh slip,Looks like threshold skirting but documents explain separate truck dispatches; MSA-26003 is duplicated because a signed copy was resent.
OfficeLease Holdings,FALSE_POSITIVE,round_numbers / duplicate_receipt_invoice_matching,monthly 2026-01 through 2026-08; duplicate on 2026-08-03,OLH-26001; OLH-26002; OLH-26003; OLH-26004; OLH-26005; OLH-26006; OLH-26007; OLH-26008,150000 repeated monthly,"OfficeLease Holdings OLH-26008 fixed monthly rent lease packet resubmission duplicate August 150,000",Round payments are legitimate fixed rent; one duplicate document is explained by a signed lease packet re-upload.
Rahman Steel & Iron,FALSE_POSITIVE,invoice_matching_amount_mismatch / zscore / isolation_forest,2026-05-14; 2026-08-11,RAH-26007; RAH-26013,17204; 285430,"Rahman Steel Iron RAH-26007 weighbridge unloading slip RAH-26013 bridge beam imported steel 285,430","One small mismatch is a documented weighbridge adjustment, and the large outlier is a legitimate one-off bridge beam purchase."
Padma Equipment Rental,FALSE_POSITIVE,threshold_skirting / duplicate_receipt_invoice_matching,2026-08-12; 2026-08-16; 2026-08-19,PER-26007; PER-26008; PER-26009,91800; 95200; 93700,Padma Equipment Rental PER-26007 PER-26008 PER-26009 separate excavator packages operators signed duplicate copy,Three payments resemble skirting but each belongs to a separate excavator/operator package; PER-26008 is duplicated because a signed copy was resent.
Bengal Safety Gear,FALSE_POSITIVE,benfords_law borderline / possible isolation_forest,2026-01-12 through 2026-07-06,BSG-26001 through BSG-26010,mixed; includes 81k-88k bundle purchases,Bengal Safety Gear PPE bundle pricing box size package quantities safety campaign,Leading digit pattern is odd but explained by PPE bundle pricing and safety campaign bulk orders.
Bismillah Cement Co.,FALSE_POSITIVE_OR_NOISE,possible isolation_forest / zscore / duplicate_receipt_invoice_matching,2026-06-28,BIS-26009,189650,Bismillah Cement BIS-26009 monsoon stock-up bulk cement stamped copy duplicate retaining wall,"A seasonal bulk purchase may flag statistically, and the duplicate receipt is just a stamped re-send."
